1997/03/28,19:14 36.2 139.8 50 4.1 SW_IBARAKI_PREF 330;229 83;32 59;167 9.06e+14 62 3.9 94.28 3.4058 1.7275 -4.5555 -5.2098 -6.1252 1.8039 1e+14 3
1997/03/29,23:13 36.2 139.8 50 3.9 SW_IBARAKI_PREF 155;287 79;17 -78;-137 3.48e+14 68 3.7 85.85 0.7789 0.9624 -1.1888 0.5278 -2.9089 -1.3066 1e+14 2
1997/04/29,01:22 36.1 139.9 50 4.1 SW_IBARAKI_PREF 50;251 66;26 81;109 7.06e+14 44 3.9 56.49 -4.0782 2.4548 3.2202 -1.1396 -3.3023 5.2178 1e+14 2
1997/05/07,08:06 36.8 137.2 10 3.8 TOYAMA_PREF 57;204 63;32 107;61 5.43e+14 5 3.8 90.94 -1.6645 2.8333 2.8032 -2.3734 -1.1829 4.0379 1e+14 3
1997/06/06,16:19 36.5 137.5 10 3.5 HIDA_MOUNTAINS_REGION 143;234 89;73 -17;-179 2.60e+14 11 3.6 80.82 3.0059 0.8270 -0.8663 -1.7167 -0.2470 -1.2893 1e+14 3
1997/06/06,18:09 36.1 139.9 50 4.0 SW_IBARAKI_PREF 37;264 67;32 67;132 8.24e+14 59 3.9 82.68 -5.0075 2.2889 1.7011 -0.9337 -5.5838 5.9412 1e+14 1
1997/07/01,18:00 36.1 139.9 50 4.2 SW_IBARAKI_PREF 55;258 57;35 77;109 1.19e+15 32 4.0 77.33 -0.8995 0.3481 0.2919 -0.2142 -0.4200 1.1137 1e+15 3
1997/07/06,04:28 38.0 139.3 20 4.0 NE_NIIGATA_PREF 205;357 53;41 108;68 4.18e+14 5 3.7 73.86 0.0831 0.8199 -1.1440 -3.9271 0.6500 3.8439 1e+14 2
1997/07/06,05:18 38.0 139.3 10 3.8 NE_NIIGATA_PREF 183;2 52;38 91;89 2.20e+14 5 3.5 72.84 0.0421 0.1107 -0.0432 -2.1571 0.5251 2.1150 1e+14 2
1997/07/06,07:09 38.0 139.3 20 4.1 NE_NIIGATA_PREF 22;185 56;35 100;76 1.35e+15 5 4.1 81.85 -0.0247 0.3042 0.3051 -1.1923 -0.4265 1.2170 1e+15 3
1997/07/18,17:13 37.0 137.2 20 3.7 TOYAMA_BAY_REGION 22;264 72;34 60;147 3.66e+14 5 3.7 67.19 -1.5191 1.8013 0.3729 -0.3609 -2.6535 1.8800 1e+14 2
1997/07/30,17:18 36.4 137.6 10 3.5 HIDA_MOUNTAINS_REGION 171;263 81;76 -14;-171 1.23e+15 5 4.0 59.92 0.3296 1.1324 0.1560 -0.2970 -0.3267 -0.0326 1e+15 3
1997/09/29,00:57 36.2 139.8 50 3.7 SW_IBARAKI_PREF 52;211 53;39 103;74 1.90e+14 41 3.5 56.40 -0.7671 1.0068 0.5272 -0.9780 -0.1062 1.7451 1e+14 3
1997/10/02,21:06:39.06 37.7510 138.8335 19.93 3.9 NE_NIIGATA_PREF 209;52 56;36 77;109 2.86e+14 20 3.6 73.65 -0.9790 1.5203 -0.2329 -1.5186 1.0558 2.4976 1e+14 3
1997/11/02,07:13:04.69 36.0605 139.9235 51.29 4.3 SW_IBARAKI_PREF 44;259 61;34 71;119 3.76e+15 47 4.3 88.84 -2.5310 1.4387 0.8310 -0.5821 -1.7777 3.1132 1e+15 3
1997/11/08,02:46:59.27 36.3735 137.6007 6.80 3.6 HIDA_MOUNTAINS_REGION 178;270 82;81 -9;-172 1.29e+15 5 4.0 92.75 -0.0369 1.2528 0.2354 -0.1350 -0.2557 0.1719 1e+15 3
1997/11/29,09:39:50.76 36.0407 139.9145 49.86 4.3 SW_IBARAKI_PREF 41;278 73;29 66;143 6.96e+15 56 4.5 62.73 -4.2599 1.9111 2.7227 0.5649 -4.6271 3.6951 1e+15 3
1997/12/19,22:07:55.20 36.3205 136.2230 12.48 4.4 CENTRAL_FUKUI_PREF 202;55 58;36 71;118 3.22e+15 8 4.3 86.56 -0.6069 2.0630 -0.2721 -1.8109 1.3103 2.4178 1e+15 3
1998/01/08,23:46:35.74 37.8688 137.6722 29.58 4.2 SADOGASHIMA_IS_REG 182;31 59;34 74;114 1.01e+15 5 4.0 85.33 0.0167 0.2741 0.1104 -0.8580 0.4638 0.8413 1e+15 3
1998/02/21,09:55:41.77 37.2880 138.7707 20.83 5.0 MID_NIIGATA_PREF 38;213 49;41 94;86 3.15e+16 11 5.0 81.72 -1.0634 1.4716 0.3586 -2.0650 -0.2354 3.1283 1e+16 3
1998/02/22,02:49:30.82 37.2957 138.7755 22.05 3.7 MID_NIIGATA_PREF 210;42 53;38 83;99 2.00e+14 11 3.5 53.80 -0.7272 0.8210 -0.1232 -1.2522 0.5540 1.9794 1e+14 2
1998/03/08,13:46:48.30 36.0845 139.8587 51.68 4.4 SW_IBARAKI_PREF 52;253 71;20 83;110 6.15e+15 53 4.5 91.61 -2.9693 1.6176 3.7024 -0.7063 -3.1779 3.6756 1e+15 3
1998/04/04,01:40:09.73 37.5402 138.3758 27.04 4.5 OFF_S_NIIGATA_PREF 34;207 57;34 94;85 7.90e+15 20 4.6 78.43 -1.7058 3.4037 1.9488 -5.3871 -2.4485 7.0928 1e+15 3
1998/04/12,00:18:53.00 35.9697 136.3335 10.49 3.5 CENTRAL_FUKUI_PREF 76;326 79;30 -118;-23 1.66e+14 5 3.4 63.91 0.9556 0.5161 -1.2970 -0.4207 0.3682 -0.5349 1e+14 2
1998/04/24,00:00:24.02 37.9830 139.0292 15.04 3.5 OFF_N_NIIGATA_PREF 3;176 50;40 95;85 1.83e+14 11 3.5 57.22 -0.2264 -0.0141 0.1319 -1.6845 -0.3131 1.9110 1e+14 3
1998/04/27,07:06:41.38 36.0855 139.8860 50.23 4.0 SW_IBARAKI_PREF 41;262 79;14 81;130 1.41e+15 50 4.1 89.79 -0.4981 0.1572 0.7894 -0.1055 -1.0272 0.6036 1e+15 3
