number,name,region,lat,lon,elev,type,status,lasterp
0301-02=,"Uwayrid, Harrat",Arabia-W,27.08,37.25,1900,Volcanic field,Anthropology,D6
0803-001,Abu,Honshu-Japan,34.5,131.6,571,Shield volcano,Holocene,Unknown
1505-096,Acamarachi,Chile-N,-23.3,-67.62,6046,Stratovolcano,Holocene,Unknown
1402-08=,Acatenango,Guatemala,14.501,-90.876,3976,Stratovolcano,Historical,D1
0103-004,Acigol-Nevsehir,Turkey,38.57,34.52,1689,Maar,Holocene,U
1505-017,Acotango,Chile-N,-18.37,-69.05,6052,Stratovolcano,Holocene,U
1101-112,Adagdak,Aleutian Is,51.98,-176.6,645,Stratovolcano,Holocene,U
1201-04-,Adams,US-Washington,46.206,-121.49,3742,Stratovolcano,Tephrochronology,D6
0803-17=,Adatara,Honshu-Japan,37.62,140.28,1718,Stratovolcano,Historical,D1
0201-17=,Adwa,Ethiopia,10.07,40.84,1733,Stratovolcano,Holocene,U
0201-11=,Afdera,Ethiopia,13.08,40.85,1295,Stratovolcano,Holocene,Unknown
0104-07-,Agmagan-Karadag,Armenia,40.275,44.75,3560,Volcanic field,Holocene,U
0804-16=,Agrigan,Mariana Is-C Pacific,18.77,145.67,965,Stratovolcano,Historical,D2
1402-10=,Agua,Guatemala,14.465,-90.743,3760,Stratovolcano,Holocene,U
1802-09=,Agua de Pau,Azores,37.77,-25.47,947,Stratovolcano,Historical,D5
1508-062,Aguilera,Chile-S,-50.17,-73.83,0,Stratovolcano,Radiocarbon,D7
0604-02=,Agung,Lesser Sunda Is,-8.342,115.508,3142,Stratovolcano,Historical,D1
0804-141,Ahyi,Mariana Is-C Pacific,20.42,145.03,-137,Submarine volcano,Uncertain,U
1000-123,Akademia Nauk,Kamchatka,53.98,159.45,1180,Stratovolcano,Historical,D1
0803-13=,Akagi,Honshu-Japan,36.53,139.18,1828,Stratovolcano,Historical,D6
0805-07=,Akan,Hokkaido-Japan,43.38,144.02,1499,Caldera,Historical,D1
1000-32-,Akhtang,Kamchatka,55.43,158.65,1956,Shield volcano,Holocene,U
0803-23=,Akita-Komaga-take,Honshu-Japan,39.75,140.8,1637,Stratovolcano,Historical,D1
0803-26=,Akita-Yake-yama,Honshu-Japan,39.97,140.77,1366,Complex volcano,Historical,D1
0802-021,Akuseki-jima,Ryukyu Is,29.45,129.6,586,Stratovolcano,Holocene,U
1101-32-,Akutan,Aleutian Is,54.13,-165.97,1303,Stratovolcano,Historical,D1
0900-39=,Alaid,Kuril Is,50.858,155.55,2339,Stratovolcano,Historical,D1
0804-18=,Alamagan,Mariana Is-C Pacific,17.6,145.83,744,Stratovolcano,Radiocarbon,D6
0201-112,Alayta,Ethiopia,12.88,40.57,1501,Shield volcano,Historical,D2
0101-004,"Albano, Monte",Italy,41.73,12.7,949,Caldera,Holocene,Unknown
1503-04=,"Alcedo, Volcan",Galapagos,-0.43,-91.12,1130,Shield volcano,Historical,D1
0201-09=,Ale Bagu,Ethiopia,13.52,40.63,1031,Stratovolcano,Holocene,U
0201-04=,Alid,Ethiopia,14.88,39.92,904,Stratovolcano,Holocene,U
1200-02-,Alligator Lake,Canada,60.42,-135.42,2217,Volcanic field,Holocene,U
1402-04=,Almolonga,Guatemala,14.82,-91.48,3197,Stratovolcano,Historical,D3
1000-45-,Alney-Chashakondzha,Kamchatka,56.7,159.65,2598,Stratovolcano,Holocene,U
1000-60-,Alngey,Kamchatka,57.7,160.4,1853,Stratovolcano,Holocene,U
0201-06=,Alu,Ethiopia,13.82,40.55,429,Fissure vent,Holocene,U
1001-01-,Aluchin Group,Russia-NE,66.12,165.63,1000,Pyroclastic cone,Holocene,U
0201-27-,Alutu,Ethiopia,7.77,38.78,2335,Stratovolcano,Holocene,U
1101-39-,Amak,Aleutian Is,55.42,-163.15,513,Stratovolcano,Historical,D4
0608-072,Amasing,Halmahera-Indonesia,-0.55,127.5,1030,Stratovolcano,Holocene,U
0703-088,Ambalatungan Group,Luzon-Philippines,17.32,121.1,2329,Compound volcano,Fumarolic,U
0606-02=,Ambang,Sulawesi-Indonesia,0.75,124.42,1795,Complex volcano,Historical,D3
0504-02=,Ambitle,New Ireland-SW Pacif,-4.08,153.65,450,Stratovolcano,Radiocarbon,D7
1203-20-,Amboy,US-California,34.55,-115.78,288,Cinder cone,Holocene,U
0303-011,Ambre-Bobaomby,Madagascar,-12.48,49.1,1475,Volcanic field,Holocene,U
0507-04=,Ambrym,Vanuatu-SW Pacific,-16.25,168.12,1334,Pyroclastic shield,Historical,D1
0101-002,Amiata,Italy,42.9,11.63,1738,Lava dome,Pleistocene-Fumarol,Q
0703-085,Amorong,Luzon-Philippines,15.828,120.805,376,Unknown,Fumarolic,U
0304-001,Amsterdam Island,Indian O-S,-37.83,77.52,881,Stratovolcano,Holocene,U
1101-19-,Amukta,Aleutian Is,52.5,-171.25,1066,Stratovolcano,Historical,D1
1505-013,"Anallajsi, Nevado",Bolivia,-17.92,-68.92,5750,Stratovolcano,Holocene,Unknown
0804-20=,Anatahan,Mariana Is-C Pacific,16.35,145.67,788,Stratovolcano,Holocene,U
1000-39-,Anaun,Kamchatka,56.32,158.83,1828,Stratovolcano,Holocene,U
1504-002,Andahua Valley,Peru,-15.42,-72.33,4713,Cinder cone,Holocene,U
1900-023,Andrus,Antarctica,-75.8,-132.33,2978,Shield volcano,Holocene,Unknown
0507-11-,Aneityum,Vanuatu-SW Pacific,-20.2,169.83,852,Stratovolcano,Holocene,Unknown
1102-09-,Aniakchak,Alaska Peninsula,56.88,-158.17,1341,Caldera,Historical,D2
1001-02-,Anjuisky,Russia-NE,67.17,165.2,1050,Pyroclastic cone,Tephrochronology,D5
0303-013,Ankaizina Field,Madagascar,-14.3,48.67,2878,Cinder cone,Holocene,U
0303-015,Ankaratra Field,Madagascar,-19.4,47.2,2644,Cinder cone,Holocene,U
1507-153,Antillanca Group,Chile-C,-40.771,-72.153,1990,Stratovolcano,Holocene,U
1304-01-,Antipodes Island,Pacific-S,-49.68,178.77,402,Pyroclastic cone,Holocene,Unknown
1502-03=,Antisana,Ecuador,-0.481,-78.141,5753,Stratovolcano,Historical,D3
1505-124,Antofagasta de la Sierra,Argentina,-26.08,-67.5,4000,Scoria cone,Holocene,U
1505-123,Antofalla,Argentina,-25.53,-68,6100,Stratovolcano,Holocene,U
1507-08=,Antuco,Chile-C,-37.406,-71.349,2979,Stratovolcano,Historical,D3
0507-03=,Aoba,Vanuatu-SW Pacific,-15.4,167.83,1496,Shield volcano,Historical,D1
0804-06=,Aoga-shima,Izu Is-Japan,32.45,139.77,423,Stratovolcano,Historical,D4
1403-01=,Apaneca Range,El Salvador,13.891,-89.786,2036,Stratovolcano,Holocene,U
1403-071,Apastepeque Field,El Salvador,13.72,-88.77,700,Volcanic field,Holocene,U
0701-03=,Apo,Mindanao-Philippines,6.987,125.273,2954,Stratovolcano,Fumarolic,U
1404-091,Apoyeque,Nicaragua,12.242,-86.342,518,Pyroclastic shield,Radiocarbon,D7
1505-107,Aracar,Argentina,-24.27,-67.77,6082,Stratovolcano,Historical,D1
0104-06-,Aragats,Armenia,40.55,44.12,4090,Stratovolcano,Holocene,U
1403-101,"Aramuaca, Laguna",El Salvador,13.428,-88.105,180,Maar,Holocene,U
0103-04-,Ararat,Turkey,39.7,44.28,5165,Stratovolcano,Holocene,U
0703-084,Arayat,Luzon-Philippines,15.2,120.742,1026,Stratovolcano,Holocene,U
0201-126,Ardoukoba,Djibouti,11.58,42.47,298,Fissure vent,Historical,D1
1405-033,Arenal,Costa Rica,10.463,-84.703,1657,Stratovolcano,Historical,D1
0301-09-,"Arhab, Harra of",Arabia-S,15.63,44.08,3100,Volcanic field,Historical,D6
1505-023,Arintica,Chile-N,-18.73,-69.05,5597,Stratovolcano,Holocene,U
0603-29=,Arjuno-Welirang,Java,-7.725,112.58,3339,Stratovolcano,Historical,D2
1000-062,Asacha,Kamchatka,52.355,157.827,1910,Complex volcano,Holocene,U
0803-11=,Asama,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1
0201-104,Asavyo,Ethiopia,13.07,41.6,1200,Shield volcano,Holocene,U
1805-05-,Ascension,Atlantic-S,-7.95,-14.37,858,Stratovolcano,Holocene,U
1703-06=,Askja,Iceland-NE,65.03,-16.75,1516,Stratovolcano,Historical,D2
0201-142,Asmara,Ethiopia,11.27,41.52,500,Pyroclastic cone,Holocene,U
0802-11=,Aso,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1
0201-125,Assab Volc Field,Ethiopia,12.95,42.43,987,Volcanic field,Holocene,U
0804-15=,Asuncion,Mariana Is-C Pacific,19.67,145.4,857,Stratovolcano,Historical,D2
1502-021,Atacazo,Ecuador,-0.353,-78.617,4463,Stratovolcano,Radiocarbon,D7
1402-06=,Atitlan,Guatemala,14.583,-91.186,3535,Stratovolcano,Historical,D3
1101-16-,Atka,Aleutian Is,52.38,-174.15,1533,Stratovolcano,Historical,D1
1000-65-,Atlasova,Kamchatka,57.97,160.65,1764,Shield volcano,Holocene,U
1401-094,"Atlixcos, Cerro Los",Mexico,19.809,-96.526,800,Shield volcano,Holocene,U
0900-05=,Atsonupuri,Kuril Is,44.804,147.13,1205,Stratovolcano,Historical,D2
1505-051,"Aucanquilcha, Cerro",Chile-N,-21.22,-68.47,6176,Stratovolcano,Holocene,U
0401-02=,Auckland Field,New Zealand,-36.9,174.87,260,Volcanic field,Radiocarbon,D6
1103-01-,Augustine,Alaska-SW,59.37,-153.42,1252,Lava dome,Historical,D1
1000-10=,Avachinsky,Kamchatka,53.255,158.83,2741,Stratovolcano,Historical,D1
