J2005110100002459 004 344358 009 1332537 009 142304601V   511   6229OKAYAMA PREF             17K
J2005110100043514 050 440547 159 1455947 2721514438318V   511   1 23NEAR KUNASHIRI ISLAND    15K
J2005110100051645 006 344913 018 1373341 015 298205415V   511   4159HAMANAKO LAKE REGION     20K
J2005110100080254 013 373073 036 1390508 067  58219203V   511   4131NE NIIGATA PREF          11K
J2005110100080470 029 345215 101 1400531 136 675723915V   511   3108SE OFF BOSO PENINSULA    13K
J2005110100111826 003 340453 008 1322262 009 102405303V   511   6242AKINADA SETONAIKAI       11K
J2005110100134266 008 330560 022 1311823 022 193706703V   571   7280NORTHERN OITA PREF       10S
J2005110100153096 006 312130 018 1303356 021  92212809V   511   7275SATSUMA PENINSULA REGION 14K
J2005110100170220 003 334305 010 1301522 011 102402700v   511   7281NW OFF KYUSHU            14K
J2005110100245929 012 362660 027 1410079 062 388111007V   511   3111E OFF IBARAKI PREF       14K
J2005110100295044 004 345660 010 1353348 012 123704703V   511   5184KYOTO OSAKA BORDER REG   20K
J2005110100364159 012 420520 025 1391828 056 101405115V   511   1 18SW OFF HOKKAIDO          16K
J2005110100401014 007 335307 016 1353300 018 452605401V   511   5192SOUTHERN WAKAYAMA PREF   17K
J2005110100473091 012 360041 031 1401391 046 420111021V   511   3 87SOUTHERN IBARAKI PREF    34K
J2005110101012206 012 350067 022 1390671 035  80107404V   511   3100E OFF IZU PENINSULA      12K
J2005110101065788 005 345206 013 1362629 023 128406008V   511   5198NORTHERN MIE PREF        18K
J2005110101143527 017 421505 040 1391788 083 139309310V   511   1 18SW OFF HOKKAIDO           9K
J2005110101174279 012 390831 028 1422152 061 327813507V   511   2 62E OFF IWATE PREF         21K
J2005110101213083 003 334234 009 1301404 010  48702804V   511   7281NW OFF KYUSHU            17K
J2005110101312714 003 334300 012 1301240 011  92003606V   511   7281NW OFF KYUSHU            18K
J2005110101391632 005 325393 018 1322763 015 305005808V   511   6245BUNGO CHANNEL            18K
J2005110101591716 003 355521 008 1374636 009  93304506V   511   4147CENTRAL NAGANO PREF      20K
J2005110102021662 005 324499 013 1312046 020 1089078-2V   511   7278NORTHERN MIYAZAKI PREF   10K
J2005110102232334 017 425697 066 1444992 060 590712909V   511   1 27OFF NEMURO PENINSULA     23K
J2005110102252486 012 355652 029 1401204 043 382811217V   511   3 87SOUTHERN IBARAKI PREF    31K
J2005110102280174 042 431168 110 1425210 13813090353      511   1 10TAISETSU MOUNTAINS REG    7K
J2005110102353840 005 333980 017 1302256 015  58213103V   511   7261NE FUKUOKA PREF          14K
J2005110102362572 005 363613 012 1392447 017  99405703V   511   3 83TOCHIGI GUNMA BORDER     12K
J2005110102413823 027 430792 233 1464781 150 48     11v   571   1 27OFF NEMURO PENINSULA      5S
J2005110102464266 008 332382 038 1345965 019 391013712V   511   6249SE OFF SHIKOKU           32K
J2005110102470161 009 323157 014 1314652 036 175106808V   511   7300HYUGANADA REGION         19K
J2005110102482663 003 335413 008 1351583 014  55406010V   511   5191CENTRAL WAKAYAMA PREF    20K
J2005110102553677 005 340323 011 1351659 017  85705700V   511   5190NW WAKAYAMA PREF         12K
J2005110103015218 003 333833 008 1301891 009 134903201V   511   7262CENTRAL FUKUOKA PREF     16K
J2005110103015923 019 243579 489 1221633 132 60     21v   521   8311TAIWAN REGION             7K
J2005110103123079 003 334379 012 1301471 012  71403609V   511   7281NW OFF KYUSHU            24K
J2005110103151505 012 384740 034 1414488 067 531810605V   511   2 66KINKAZAN REGION          25K
J2005110103161864 012 390385 043 1404871 031  683139-2v   571   2 49SOUTHERN IWATE PREF       9S
J2005110103272554 003 335962 007 1351352 014  67304008V   511   5191CENTRAL WAKAYAMA PREF    17K
J2005110103365576 008 321868 010 1302291 011  30615309V   511   7268AMAKUSA REGION           20K
J2005110103471532 016 382651 043 1422104 061 255430310V   511   2 65E OFF MIYAGI PREF        18K
J2005110103495572 040 334378 167 1423961 195 51     31v   521   8328FAR E OFF CENTRAL HONSHU 13K
J2005110103523889 016 364493 041 1411840 096 482716939D39V5111  3111E OFF IBARAKI PREF       34K
J2005110103564458 006 371362 018 1384996 023 106806407V   511   4132MID NIIGATA PREF         17K
J2005110104030555 010 390323 034 1410010 042 930308208V   511   2 49SOUTHERN IWATE PREF      21K
J2005110104093762 007 371329 024 1385026 031  85011113V   511   4132MID NIIGATA PREF         20K
J2005110104175063 046 235929 061 1224852 147 11     18v   521   7290NEAR ISHIGAKIJIMA ISLAND  6K
J2005110104180910 006 335975 014 1360859 021 173205005V   511   5200SOUTHERN MIE PREF        19K
J2005110104180990 021 340296 028 1335968 038 2447120-2V   575   6231TOKUSHIMA PREF            7S
