2006/01/01,08:40:34.62 40.9418 143.1538 40.00 4.1 E_OFF_AOMORI_PREF 28;194 60;31 97;78 8.67e+14 29 3.9 81.08 -1.3906 2.1480 2.6017 -6.4059 -3.5184 7.7966 1e+14 3
2006/01/01,16:11:53.50 31.4435 140.4110 0.00 5.9 NEAR_TORISHIMA_IS 242;73 75;16 87;101 4.63e+17 8 5.7 85.52 -2.0877 1.0701 -3.4970 -0.0890 1.9088 2.1768 1e+17 3
2006/01/01,22:56:54.45 35.9128 136.7562 9.52 4.1 FUKUI_GIFU_BORDER_REGION 154;23 54;48 56;128 5.45e+14 8 3.8 95.27 1.5602 -0.1998 1.8620 -5.7155 0.5401 4.1553 1e+14 3
2006/01/02,09:49:46.90 33.7445 138.8783 253.01 3.5 NEAR_MIYAKEJIMA_ISLAND 95;353 73;55 -143;-21 1.27e+15 270 4.0 53.68 0.2116 0.9583 -0.6982 0.1766 0.3187 -0.3882 1e+15 2
2006/01/02,12:34:28.89 24.8695 122.3653 32.00 3.7 NW_OFF_ISHIGAKIJIMA_IS 132;222 88;84 -6;-178 7.94e+14 14 3.9 77.90 7.5183 -0.9197 -0.4207 -8.1603 -0.8408 0.6420 1e+14 2
2006/01/02,23:28:15.09 26.9410 141.9573 141.00 3.7 NEAR_CHICHIJIMA_ISLAND 171;348 81;9 91;86 1.66e+16 44 4.8 61.22 0.0540 -0.1116 0.2410 -0.5353 1.5557 0.4813 1e+16 3
2006/01/03,05:07:26.37 38.1817 144.6595 57.00 4.5 FAR_E_OFF_NORTH_HONSHU 185;16 58;32 -96;-81 5.04e+14 8 3.8 74.36 0.2186 -0.7946 -0.0818 4.3456 -2.2137 -4.5641 1e+14 3
2006/01/03,06:50:05.17 29.0835 142.6537 50.00 4.1 NEAR_TORISHIMA_IS 199;340 50;48 118;61 1.54e+15 5 4.1 76.99 0.2261 -0.0096 -0.4948 -1.5527 0.0602 1.3265 1e+15 3
2006/01/03,16:33:29.27 41.6208 144.8555 52.58 4.1 SE_OFF_TOKACHI 8;250 70;37 58;146 1.86e+15 11 4.1 80.45 -0.2629 1.0664 -0.1233 -0.7359 -1.2300 0.9988 1e+15 3
2006/01/03,17:02:00.47 41.6220 144.8668 53.41 3.8 SE_OFF_TOKACHI 10;257 70;43 51;149 5.65e+14 14 3.8 70.44 -1.0723 3.8242 -0.2795 -1.8039 -3.3241 2.8763 1e+14 3
2006/01/03,19:54:08.56 24.6737 125.1488 32.60 4.5 NEAR_MIYAKOJIMA_ISLAND 151;293 61;35 -69;-122 2.24e+15 23 4.2 88.95 1.0317 1.0667 -0.1763 0.7723 -1.1737 -1.8040 1e+15 3
2006/01/03,21:26:00.49 41.3193 142.6563 34.90 4.7 E_OFF_AOMORI_PREF 25;198 72;18 92;83 1.67e+16 41 4.8 78.69 -0.2697 0.2230 0.5997 -0.7968 -1.2251 1.0665 1e+16 3
2006/01/04,00:42:39.73 31.7293 132.0942 44.10 4.1 HYUGANADA_REGION 192;356 79;12 -87;-106 1.70e+15 20 4.1 81.06 0.0732 -0.0218 0.3636 0.6113 -1.5248 -0.6845 1e+15 3
2006/01/04,13:48:05.44 31.7288 132.0992 44.29 3.7 HYUGANADA_REGION 209;335 85;8 -84;-143 9.45e+14 20 4.0 78.11 -0.7993 -0.3556 4.4900 2.1214 -8.1116 -1.3221 1e+14 3
2006/01/04,15:24:31.80 40.1920 141.8997 38.84 3.9 NE_OFF_IWATE_PREF 320;56 75;69 158;16 4.92e+14 59 3.8 52.20 -4.5179 -1.1217 -0.0878 3.9335 -2.2406 0.5844 1e+14 2
2006/01/05,01:15:09.52 37.5353 142.2472 34.66 3.8 E_OFF_FUKUSHIMA_PREF 24;192 65;25 95;79 4.70e+14 35 3.7 79.28 -0.2515 1.1040 1.3957 -3.2767 -2.7099 3.5282 1e+14 3
2006/01/05,01:16:09.05 32.1907 142.3168 96.00 4.4 FAR_E_OFF_IZU_ISLANDS 122;219 87;26 116;7 2.54e+15 41 4.2 62.76 -1.1893 0.3467 1.8901 0.9332 1.2549 0.2560 1e+15 3
2006/01/05,05:17:17.94 39.9705 142.4105 37.71 3.6 NE_OFF_IWATE_PREF 25;169 79;13 98;55 5.74e+14 50 3.8 86.11 0.2045 0.3237 2.3674 -2.3118 -4.7271 2.1073 1e+14 3
2006/01/05,10:21:22.10 29.5637 130.1915 18.76 3.6 NEAR_TOKARA_ISLANDS 307;93 58;37 -71;-118 3.83e+14 8 3.7 60.39 3.1994 1.4702 0.9656 -0.1042 1.3459 -3.0952 1e+14 3
2006/01/05,10:35:52.98 44.8798 148.7588 131.00 4.5 SE_OFF_ETOROFU 214;93 71;33 62;144 6.85e+15 107 4.5 80.35 -3.9899 2.6677 -1.6857 0.2596 4.7063 3.7303 1e+15 3
2006/01/05,15:01:56.22 47.4520 152.6262 30.00 4.8 KURILE_ISLANDS_REGION 57;296 87;5 86;149 5.95e+15 47 4.5 65.35 -0.7903 0.0437 4.9103 0.2300 -3.2803 0.5603 1e+15 2
2006/01/06,10:08:52.11 44.5945 147.6102 102.00 4.2 NEAR_ETOROFU_ISLAND 182;21 56;36 79;106 1.98e+15 98 4.2 80.34 -0.0913 0.3506 0.2099 -1.7483 0.7391 1.8396 1e+15 3
2006/01/07,02:49:10.39 25.9127 124.8210 119.00 4.1 NW_OFF_MIYAKOJIMA_ISLAND 150;241 83;80 -10;-173 3.99e+15 125 4.4 76.66 2.7176 1.9633 0.2501 -3.9167 -1.2300 1.1992 1e+15 1
2006/01/07,11:12:10.54 43.3522 146.8843 38.30 3.8 E_OFF_HOKKAIDO 55;180 78;20 106;37 4.68e+14 50 3.7 77.08 -0.0171 1.3177 3.5397 -1.7437 -2.1442 1.7608 1e+14 3
2006/01/07,20:52:40.72 24.6703 121.9658 64.01 3.8 TAIWAN_REGION 327;68 70;63 -29;-158 1.35e+15 74 4.1 69.82 1.2697 0.7182 0.0490 -0.6791 0.4349 -0.5907 1e+15 2
2006/01/09,01:34:27.17 26.8428 125.1400 196.00 4.9 NW_OFF_MIYAKOJIMA_ISLAND 28;149 69;37 -59;-143 1.87e+16 210 4.8 88.41 -0.5838 -0.0016 -0.7872 1.6412 0.9108 -1.0573 1e+16 3
