> break
   -115.54960000000    32.931200000000
   -115.54190000000    32.914200000000
   -115.53580000000    32.902900000000
   -115.52760000000    32.889000000000
   -115.51620000000    32.870100000000
   -115.50340000000    32.853500000000
   -115.48800000000    32.837200000000
   -115.47560000000    32.821400000000
   -115.46460000000    32.806900000000
   -115.45200000000    32.790500000000
   -115.43690000000    32.776100000000
   -115.42350000000    32.759900000000
   -115.40810000000    32.743200000000
   -115.39630000000    32.730100000000
   -115.37990000000    32.714300000000
   -115.37100000000    32.703000000000
   -115.36060000000    32.688700000000
   -115.35090000000    32.676500000000
   -115.34300000000    32.667000000000
> break
   -115.92180000000    32.991600000000
   -115.90960000000    32.984900000000
   -115.89360000000    32.974500000000
   -115.87290000000    32.965500000000
   -115.83980000000    32.949800000000
   -115.82160000000    32.941000000000
   -115.79830000000    32.929500000000
   -115.77960000000    32.922800000000
   -115.76280000000    32.918200000000
   -115.75120000000    32.913200000000
   -115.73820000000    32.906200000000
   -115.72680000000    32.900200000000
   -115.71270000000    32.894600000000
   -115.70030000000    32.887900000000
> break
   -115.83910000000    33.012700000000
   -115.82050000000    33.006900000000
   -115.80170000000    33.001500000000
   -115.78920000000    32.997300000000
   -115.77550000000    32.991400000000
   -115.76370000000    32.985000000000
   -115.75120000000    32.975600000000
   -115.73820000000    32.964700000000
   -115.72590000000    32.953100000000
   -115.71490000000    32.942700000000
   -115.70330000000    32.931900000000
   -115.69180000000    32.923900000000
   -115.68080000000    32.916200000000
   -115.67170000000    32.909600000000
   -115.66330000000    32.904500000000
   -115.65450000000    32.901200000000
   -115.64260000000    32.892600000000
> break
   -117.34710000000    33.055200000000
   -117.34020000000    33.041800000000
   -117.33420000000    33.029000000000
   -117.32430000000    33.011100000000
   -117.31770000000    32.997600000000
   -117.31290000000    32.983600000000
   -117.30840000000    32.970100000000
   -117.30380000000    32.957200000000
   -117.29800000000    32.944600000000
   -117.29250000000    32.931600000000
   -117.28810000000    32.921400000000
   -117.28150000000    32.907200000000
   -117.27450000000    32.890900000000
   -117.26870000000    32.875800000000
   -117.26270000000    32.861600000000
   -117.25420000000    32.849200000000
   -117.24580000000    32.838800000000
   -117.23330000000    32.827000000000
   -117.22330000000    32.815000000000
   -117.21540000000    32.803700000000
   -117.20480000000    32.789700000000
   -117.19790000000    32.778300000000
   -117.19190000000    32.764000000000
   -117.18830000000    32.753000000000
   -117.18350000000    32.741300000000
   -117.17710000000    32.726900000000
   -117.16860000000    32.712700000000
   -117.16100000000    32.700200000000
   -117.15050000000    32.685700000000
   -117.13990000000    32.669200000000
   -117.13170000000    32.655600000000
   -117.12370000000    32.640800000000
   -117.11930000000    32.629100000000
> break
   -118.71020000000    33.193600000000
   -118.69780000000    33.182800000000
   -118.68430000000    33.170200000000
   -118.66130000000    33.151200000000
   -118.64220000000    33.135600000000
   -118.62520000000    33.125000000000
   -118.60360000000    33.101600000000
   -118.58280000000    33.084600000000
   -118.56700000000    33.072100000000
   -118.55240000000    33.060100000000
   -118.53530000000    33.043300000000
   -118.52340000000    33.030500000000
   -118.50960000000    33.014300000000
   -118.49580000000    32.998200000000
   -118.48030000000    32.980400000000
   -118.46880000000    32.965700000000
   -118.45360000000    32.950300000000
   -118.43560000000    32.930000000000
   -118.42260000000    32.919300000000
   -118.40410000000    32.906300000000
   -118.38960000000    32.892400000000
   -118.37630000000    32.882300000000
   -118.35590000000    32.863400000000
   -118.34150000000    32.847100000000
   -118.32440000000    32.828100000000
   -118.31150000000    32.814400000000
   -118.29800000000    32.800500000000
   -118.28310000000    32.785600000000
   -118.26770000000    32.774600000000
   -118.25200000000    32.761200000000
