Lon.      Lat.    Easting(m) Northing(m) Upwarding(m)
-------- -------- -------- -------- -------- 
138.5744  37.3977  -.14310  0.0597  -0.015
138.5164  37.3485  -.06670  0.1019  -0.070
138.7069  37.5358   .11680  0.0597  -0.070
138.7900  37.3113  -0.0404  0.0301  -0.003
138.7805  37.6675   0.0054  0.0073  -0.008
138.9203  37.5897   0.000   0.000   -0.010
139.0591  37.6623  -0.0052 -0.0015  -0.002
139.1114  37.5403  -0.0075  0.0026  -0.002
138.7795  37.4987  -0.0263  0.0036  -0.010
138.9980  37.4677   0.0000  0.0000  -0.001
139.0203  37.3199  -0.0174  0.0093   0.000
138.9337  37.1660  -0.0127  0.0096   0.040
138.8308  36.9935  -0.0056  0.0093   0.000
138.6087  37.0791  -0.0056  0.0147   0.000
138.6346  37.2121  -0.0213  0.0426  -0.025
138.4574  37.1071  -0.0037  0.0103   0.002
138.3336  37.2311  -0.0034  0.0045  -0.005
138.2731  37.8159   0.0076 -0.0103  -0.003
138.3699  38.0237   0.0012 -0.0141   0.000
138.5131  38.3193   0.000   0.000    0.000
138.4717  38.0633  -0.0015 -0.0047   0.000
138.1002  37.1608   0.000   0.000   -0.004
138.2426  37.0567   0.000   0.000   -0.001
138.1987  36.8654   0.000   0.000    0.000
138.4362  36.8017   0.000   0.000    0.000
138.6243  36.8567   0.000   0.000    0.000
139.0609  36.8374   0.000   0.000    0.000
139.2471  37.1576  -0.0072  0.0037   0.000
139.3643  37.3028  -0.0057  0.0060   0.000
139.5286  37.4735   0.000   0.000    0.000
139.5038  37.2815   0.000   0.000    0.000
139.4779  37.6859   0.000   0.000    0.000
139.2260  37.8282   0.000   0.000    0.000
139.0739  37.7521   0.000   0.000    0.000
138.9889  37.8965   0.000   0.000    0.000
138.8804  37.7770   0.000   0.000   -0.005
139.3515  37.9294   0.000   0.000    0.000
